check_month,query_id,cluster,target_query,canonical_url,chatgpt_cited,perplexity_cited,google_aio_cited,gemini_cited,claude_cited,arklight_prominence,competitors_cited,answer_snippet_notes,action
YYYY-MM,1,A. Trade School 2.0,what is Trade School 2.0,https://www.arklight.us/content/what-is-trade-school-2-0,,,,,,,,,
YYYY-MM,2,A. Trade School 2.0,software-enabled trade school,https://www.arklight.us/trade-school,,,,,,,,,
YYYY-MM,3,A. Trade School 2.0,train machinists to competency in under a year,https://www.arklight.us/trade-school,,,,,,,,,
YYYY-MM,4,A. Trade School 2.0,Trade School 2.0 vs traditional trade school,https://www.arklight.us/trade-school,,,,,,,,,
YYYY-MM,5,A. Trade School 2.0,industrial operator training program,https://www.arklight.us/trade-school,,,,,,,,,
YYYY-MM,6,B. Shortage data,skilled trades workforce shortage 2026,https://www.arklight.us/content-research,,,,,,,,,
YYYY-MM,7,B. Shortage data,how many electricians is the US short,https://www.arklight.us/research/electrician-shortage,,,,,,,,,
YYYY-MM,8,B. Shortage data,machinist shortage numbers,https://www.arklight.us/research/machinist-shortage,,,,,,,,,
YYYY-MM,9,B. Shortage data,welder metal fabricator shortage,https://www.arklight.us/research/metal-fab-shortage,,,,,,,,,
YYYY-MM,10,B. Shortage data,nuclear technician operator shortage,https://www.arklight.us/research/nuclear-shortage,,,,,,,,,
YYYY-MM,11,B. Shortage data,defense industrial base labor shortage,https://www.arklight.us/research/metal-fab-shortage,,,,,,,,,
YYYY-MM,12,B. Shortage data,CHIPS semiconductor fab workforce shortage,https://www.arklight.us/research/coherent-sherman-fab,,,,,,,,,
YYYY-MM,13,C. National infrastructure,skilled trades and national security,https://www.arklight.us/content/education-decay,,,,,,,,,
YYYY-MM,14,C. National infrastructure,why can't universities produce skilled workers,https://www.arklight.us/content/universities-cant-produce,,,,,,,,,
YYYY-MM,15,C. National infrastructure,reindustrialization workforce gap,https://www.arklight.us/content/trade-school-needed,,,,,,,,,
YYYY-MM,16,C. National infrastructure,how China uses education for national security,https://www.arklight.us/content/china-weaponized-classrooms,,,,,,,,,
YYYY-MM,17,D. Employer intent,build vs buy vs rent your workforce,https://www.arklight.us/content/build-buy-rent-industrial-workforce,,,,,,,,,
YYYY-MM,18,D. Employer intent,how to build a manufacturing apprenticeship program,https://www.arklight.us/content/build-manufacturing-apprenticeship-program,,,,,,,,,
YYYY-MM,19,D. Employer intent,apprenticeship vs college ROI cost,https://www.arklight.us/content/apprenticeship-vs-college,,,,,,,,,
YYYY-MM,20,D. Employer intent,are the skilled trades AI-proof,https://www.arklight.us/content/are-skilled-trades-ai-proof,,,,,,,,,
YYYY-MM,21,D. Employer intent,how to measure competency in manufacturing hiring,https://www.arklight.us/content/measuring-competency,,,,,,,,,
YYYY-MM,22,E. Contrarian niche,the trades aren't an alternative to college,https://www.arklight.us/content/trades-arent-alternative,,,,,,,,,
YYYY-MM,23,E. Contrarian niche,helium shortage and semiconductor workforce,https://www.arklight.us/content/iran-war-workforce,,,,,,,,,
YYYY-MM,24,E. Contrarian niche,NVIDIA Coherent Sherman TX fab jobs,https://www.arklight.us/research/coherent-sherman-fab,,,,,,,,,
YYYY-MM,25,E. Contrarian niche,Title IV incentives ruined trade schools,https://www.arklight.us/content/universities-cant-produce,,,,,,,,,
YYYY-MM,26,F. Pay/no-degree (ATP AI-visibility),how much do industrial operators make without a college degree,https://www.arklight.us/content/industrial-operator-salary,,,,,,,,,
YYYY-MM,27,F. Pay/no-degree (ATP long-tail),industrial jobs no degree salary,https://www.arklight.us/content/industrial-operator-salary,,,,,,,,,
YYYY-MM,28,F. Pay/no-degree,manufacturing operator salary,https://www.arklight.us/content/industrial-operator-salary,,,,,,,,,
YYYY-MM,29,G. Employer/hiring (ATP short-tail),hire manufacturing operators,https://www.arklight.us/hire,,,,,,,,,
YYYY-MM,30,G. Employer/hiring,industrial talent pipeline,https://www.arklight.us/hire,,,,,,,,,
YYYY-MM,31,G. Employer/hiring,how do companies find qualified industrial operators,https://www.arklight.us/hire,,,,,,,,,
YYYY-MM,32,H. Veterans,military to manufacturing jobs,https://www.arklight.us/content/veteran-transition-manufacturing,,,,,,,,,
YYYY-MM,33,H. Veterans,best trade jobs for veterans leaving the military,https://www.arklight.us/content/veteran-transition-manufacturing,,,,,,,,,
YYYY-MM,34,I. Fast-track,what trade can i learn in less than a year,https://www.arklight.us/trade-school,,,,,,,,,
YYYY-MM,35,J. How-to-become,how to become an industrial operator,https://www.arklight.us/content/how-to-become-industrial-operator,,,,,,,,,
YYYY-MM,36,J. How-to-become,how to become a machine operator,https://www.arklight.us/content/how-to-become-industrial-operator,,,,,,,,,
YYYY-MM,37,K. Trade school vs CC,is trade school faster than community college,https://www.arklight.us/content/apprenticeship-vs-college,,,,,,,,,
